upc,brand_descr,actual_manuf,1/1/2011,1/8/2011,1/15/2011,1/22/2011,1/29/2011,2/5/2011,2/12/2011,2/19/2011,2/26/2011,3/5/2011,3/12/2011,3/19/2011,3/26/2011,4/2/2011,4/9/2011,4/16/2011,4/23/2011,4/30/2011,5/7/2011,5/14/2011,5/21/2011,5/28/2011,6/4/2011,6/11/2011,6/18/2011,6/25/2011,7/2/2011,7/9/2011,7/16/2011,7/23/2011,7/30/2011,8/6/2011,8/13/2011,8/20/2011,8/27/2011,9/3/2011,9/10/2011,9/17/2011,9/24/2011,10/1/2011,10/8/2011,10/15/2011,10/22/2011,10/29/2011,11/5/2011,11/12/2011,11/19/2011,11/26/2011,12/3/2011,12/10/2011,12/17/2011,12/24/2011,12/31/2011,1/7/2012,1/14/2012,1/21/2012,1/28/2012,2/4/2012,2/11/2012,2/18/2012,2/25/2012,3/3/2012,3/10/2012,3/17/2012,3/24/2012,3/31/2012,4/7/2012,4/14/2012,4/21/2012,4/28/2012,5/5/2012,5/12/2012,5/19/2012,5/26/2012,6/2/2012,6/9/2012,6/16/2012,6/23/2012,6/30/2012,7/7/2012,7/14/2012,7/21/2012,7/28/2012,8/4/2012,8/11/2012,8/18/2012,8/25/2012,9/1/2012,9/8/2012,9/15/2012,9/22/2012,9/29/2012,10/6/2012,10/13/2012,10/20/2012,10/27/2012,11/3/2012,11/10/2012,11/17/2012,11/24/2012,12/1/2012,12/8/2012,12/15/2012,12/22/2012,12/29/2012,1/5/2013,1/12/2013,1/19/2013,1/26/2013,2/2/2013,2/9/2013,2/16/2013,2/23/2013,3/2/2013,3/9/2013,3/16/2013,3/23/2013,3/30/2013,4/6/2013,4/13/2013,4/20/2013,4/27/2013,5/4/2013,5/11/2013,5/18/2013,5/25/2013,6/1/2013,6/8/2013,6/15/2013,6/22/2013,6/29/2013,7/6/2013,7/13/2013,7/20/2013,7/27/2013,8/3/2013,8/10/2013,8/17/2013,8/24/2013,8/31/2013,9/7/2013,9/14/2013,9/21/2013,9/28/2013,10/5/2013,10/12/2013,10/19/2013,10/26/2013,11/2/2013,11/9/2013,11/16/2013,11/23/2013,11/30/2013,12/7/2013,12/14/2013,12/21/2013,12/28/2013
1600014772,G M CHOCOLATE CHEERIOS,G M,2,10,4,7,10,8,5,2,2,2,6,7,4,4,2,4,4,2,6,6,4,4,7,9,4,8,5,6,7,3,3,3,3,4,3,2,6,5,7,8,8,2,5,1,2,3,4,5,5,5,3,5,2,3,10,6,4,2,4,3,4,2,3,6,6,3,4,3,3,1,3,13,6,4,4,0,4,1,5,1,2,7,1,1,2,2,3,1,3,11,13,9,3,4,0,3,2,2,2,3,1,2,0,3,2,1,3,2,3,0,6,2,6,3,2,0,4,3,2,1,2,1,5,4,3,1,1,4,6,1,3,5,1,3,1,2,3,2,1,15,7,8,3,4,5,0,0,4,3,1,6,2,3,1,2,2,0
1600026344,G M CINNAMON CHEX,G M,8,0,4,3,2,6,3,1,8,5,3,1,1,2,6,9,2,2,1,10,7,3,3,17,37,12,7,5,9,1,3,2,8,8,3,5,3,7,14,14,4,2,3,1,9,6,3,13,14,28,12,16,11,8,6,4,15,7,2,4,1,8,8,6,4,5,9,5,6,2,7,5,7,6,8,6,7,11,1,5,7,3,8,4,9,4,0,2,2,6,5,2,6,6,1,2,12,7,2,2,8,11,24,3,2,2,6,5,5,21,10,3,4,4,4,4,8,5,5,4,9,3,4,10,6,6,4,4,10,4,12,3,6,9,8,0,7,4,3,2,7,9,9,4,9,11,7,4,4,8,4,41,23,8,1,19,26
1600026404,G M HONEY NUT CHEERIOS,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,18,7,7,1,0,0,0,0,0,0,0,0
1600027472,G M OAT CLUSTER CHEERIOS CRNCH,G M,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027473,G M CHOCOLATE CHEX,G M,3,1,7,2,1,6,3,2,3,2,5,9,2,2,4,5,2,1,0,5,2,5,3,3,4,1,3,3,2,3,2,1,2,3,7,1,5,3,2,11,10,3,2,1,2,1,3,6,12,31,13,16,9,5,9,3,7,6,3,2,1,4,0,3,2,5,4,4,5,5,3,3,6,3,2,4,9,13,8,6,5,3,2,1,7,3,5,2,3,6,2,8,3,4,4,2,19,7,7,2,12,16,18,6,9,3,7,2,6,18,5,4,5,6,4,7,6,3,3,8,3,9,4,6,5,8,5,6,5,7,14,5,1,10,4,4,13,3,6,1,7,2,4,0,7,0,1,6,2,4,5,36,25,5,5,19,35
1600027484,G M TOTAL PLUS+,G M,1,3,0,3,3,2,1,3,1,5,3,0,2,4,3,7,2,2,4,2,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027503,G M REESE'S PUFFS,G M,16,23,36,12,14,21,20,84,27,23,104,28,18,9,34,25,23,50,30,36,12,25,9,161,152,50,18,48,128,64,8,23,197,34,34,84,35,28,47,24,21,68,62,43,14,33,14,6,15,19,14,13,5,19,17,15,20,16,31,31,215,15,24,52,31,6,20,14,24,49,26,29,17,16,31,102,37,17,13,19,20,18,11,29,153,49,12,14,19,76,182,77,59,59,74,16,9,21,11,12,14,14,18,15,12,20,20,16,16,16,25,12,18,49,23,33,107,28,24,30,18,10,10,27,14,13,12,197,30,4,5,21,29,215,8,8,26,8,153,26,16,29,13,7,11,23,13,5,12,157,25,10,12,11,9,12,12
1600027505,G M FIBER ONE,G M,4,1,6,5,3,1,3,3,3,3,2,2,3,4,5,2,2,2,0,3,3,1,2,3,3,4,4,0,3,6,1,3,8,0,6,3,3,2,3,0,8,3,2,2,1,4,0,2,1,1,2,4,2,0,5,4,1,3,5,0,4,2,14,0,6,6,3,3,0,4,4,0,3,3,7,6,7,0,9,10,6,3,5,4,5,1,1,2,4,3,6,0,2,0,1,1,1,1,6,0,1,0,4,2,2,3,1,4,3,5,2,1,1,0,1,3,3,1,2,1,2,3,4,1,2,1,1,4,2,4,3,5,1,2,3,3,2,1,3,4,1,2,2,4,2,3,4,3,27,0,1,1,1,3,4,0,1
1600027507,G M CINNAMON TOAST CRUNCH,G M,35,209,69,33,147,37,229,37,117,43,16,153,18,13,296,55,18,16,18,27,11,18,21,78,318,129,29,36,36,31,296,33,28,202,32,38,237,57,31,162,37,174,44,33,100,67,60,19,201,55,36,55,164,38,31,18,163,37,181,33,18,19,30,28,21,101,24,23,13,12,19,23,5,11,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027509,G M LUCKY CHARMS,G M,7,7,6,4,5,4,6,3,6,3,8,7,7,5,5,5,3,4,3,6,7,5,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
